	mgm4509396.3	mgm4509398.3	mgm4509400.3
Flagella-related protein FlaF	616	1769	6806
Flagella-related protein FlaG	544	1801	6966
Arginine decarboxylase, catabolic (EC 4.1.1.19)	66	0	0
Arginine/ornithine ABC transporter, permease protein AotM	0	10	0
N-carbamoylputrescine amidase (3.5.1.53)	1065	0	0
Ornithine decarboxylase (EC 4.1.1.17)	943	3005	11457
Argininosuccinate synthase (EC 6.3.4.5)	2833	8324	33261
Uncharacterized PLP-dependent aminotransferase YfdZ	225	681	2725
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9), inferred for PFA pathway	0	0	28136
Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)	0	4031	0
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	880	0	0
ATP-dependent RNA helicase VCA0990	0	728	2718
Autoinducer 2 (AI-2) ABC transport system, membrane channel protein LsrD	4688	13354	57487
Indole-acetaldehyde reductase	10	0	0
Tryptophan transaminase	1355	4310	16400
Peroxidase (EC 1.11.1.7)	3142	10024	39097
Fe-bacillibactin uptake system FeuD	3	0	0
SinR, regulator of post-exponential-phase responses genes (competence and sporulation)	3	0	0
Transcriptional activator PlcR	2	0	0
Alanine-anticapsin ligase BacD	1	0	0
Rod shape-determining protein MreB	2666	0	35282
Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	1809	0	27201
Formate dehydrogenase O beta subunit (EC 1.2.1.2)	523	1861	7985
Rod shape-determining protein MreB	2666	0	35282
Transcriptional regulator in cluster with Zn-dependent hydrolase	1083	3282	13279
Signal recognition particle associated protein	2026	6305	0
Transcription regulator Bat, regulates bacteriorhodopsin synthesis	2131	5893	24813
benzoyl-CoA-dihydrodiol lyase (BoxC)	904	2656	11322
Benzoyl-CoA oxygenase component B	805	2569	10931
AscBF operon repressor	0	2	0
Beta-glucoside ABC transport system, ATP-binding protein 2	1	0	0
Cellobiose phosphorylase (EC 2.4.1.-)	124	384	1975
Pyruvate formate-lyase (EC 2.3.1.54)	1029	2679	9735
Beta-lactamase repressor BlaI	592	1827	7024
Putative copper metallochaperone, cytochrome oxidase biogenesis protein Cox19	3439	9783	41962
Biotin synthesis protein bioZ	2	0	0
Pimeloyl-CoA synthase (EC 6.2.1.14)	0	2	0
Biotin synthesis protein bioZ	852	2458	10695
2-hydroxy-3-carboxyhexa-4,6-diene hydrolase	0	4026	0
Biphenyl dioxygenase beta subunit (EC 1.14.12.18)	891	0	0
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	3295	0	0
Dihydroxy-acid dehydratase (EC 4.2.1.9)	4271	0	0
Ketol-acid reductoisomerase (EC 1.1.1.86)	2120	5862	24661
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	2705	8961	34419
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	614	1766	6790
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	544	1799	6936
Pyruvate formate-lyase (EC 2.3.1.54)	1029	2679	9735
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	1896	0	24208
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	1029	3048	0
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	0	8685	37593
NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	0	1263	5051
Phosphoribulokinase (EC 2.7.1.19)	71	223	1052
Phosphoribulokinase (EC 2.7.1.19) homolog, function unknown	4	0	0
Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	93	267	1236
Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	28	87	419
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	2283	7336	30507
tetrahydrocannabinolic acid synthase	732	0	9499
GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	707	0	0
Oligosaccharide repeat unit polymerase Wzy	0	2	0
Putative Carbon monoxide dehydrogenase subunit, maturation factor	0	15	0
CO dehydrogenase/acetyl-CoA synthase subunit delta, corrinoid iron-sulfur subcomplex small subunit	41	0	492
CooJ	4	0	0
Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	93	267	1236
Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	28	87	419
CrtV-methyltransferase-like protein	0	1844	0
Dehydrosqualene synthase (EC 2.5.1.-)	2	0	0
gamma-carotene hydroxylase	8005	7	105235
Mll7752 protein	71	198	908
FIG110192: hypothetical protein	0	656	0
ATP-dependent Clp protease ATP-binding subunit ClpA	0	0	49804
SSU ribosomal protein S2p (SAe)	1786	4929	0
Lipoprotein Bor	0	1	0
Iron-sulfur cluster assembly ATPase protein SufC	1951	5318	22097
Iron-sulfur cluster assembly protein SufB	3512	9345	42374
Dehydrosqualene synthase (EC 2.5.1.-)	2	0	0
YcgN (Fragment)	6	0	0
RecA protein	2428	7065	31135
Adenylosuccinate synthetase (EC 6.3.4.4)	1720	5707	22419
Molybdopterin oxidoreductase (EC 1.2.7.-)	1584	4571	20362
protein of unknown function DUF1036	31	128	559
protein of unknown function DUF1244	26	67	312
SSU ribosomal protein S2p (SAe)	1786	4929	0
Carbon monoxide dehydrogenase small chain (EC 1.2.99.2)	1337	4622	18693
FIG006126: DNA helicase, restriction/modification system component YeeB	60	186	775
FIG046709: Hypothetical protein	1	0	0
FIG033680: Hypothetical protein	110	234	0
Tyrosine recombinase XerC	0	2	0
Topoisomerase IV subunit B (EC 5.99.1.-)	2113	6260	23632
D-malic enzyme (EC 1.1.1.83)	926	2661	0
Tartrate decarboxylase (EC 4.1.1.73)	929	0	0
Tartrate dehydrogenase (EC 1.1.1.93)	929	0	0
SSU ribosomal protein S15p (S13e)	625	0	0
Peptide chain release factor 2	1881	5707	23806
Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	6075	18102	78203
Menaquinone-cytochrome c reductase, cytochrome B subunit	398	1121	5678
Phosphate starvation-inducible ATPase PhoH with RNA binding motif	0	1148	0
Phosphate starvation-inducible protein PhoH, predicted ATPase	1327	0	16628
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	0	6455	27302
Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	2780	8499	36873
Helicase IV (EC 3.6.1.-)	1	0	29
Fin: required for the switch from sigmaF to sigmaG during sporulation	0	0	1
Alpha-glucosidase SusB (EC 3.2.1.20)	90	128	598
Tryptophan synthase beta chain (EC 4.2.1.20)	2386	7215	29549
Tryptophan synthase beta chain like (EC 4.2.1.20)	688	2424	10949
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	846	2926	10968
2-keto-4-pentenoate hydratase (EC 4.2.1.-)	1410	0	0
TctA citrate transporter	0	579	0
ATP-dependent Clp protease ATP-binding subunit ClpA	0	0	49804
ATP-dependent Clp protease adaptor protein ClpS like	44	86	375
Bacterial proteasome-activating AAA-ATPase (PAN)	692	2340	54879
Pup ligase PafA, possible component of postulated heterodimer PafA-PafA'	423	1520	5640
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)	2288	6409	25886
carboxysome shell protein CsoS1	1	0	0
Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	93	267	1236
Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	28	87	419
Rubisco activation protein CbbQ	119	299	1659
Thrombin, protease S01.217	2429	7069	31146
Ketol-acid reductoisomerase (EC 1.1.1.86)	2120	5862	24661
Aerobic cobaltochelatase CobS subunit (EC 6.6.1.2)	252	914	3529
Aerobic cobaltochelatase CobT subunit (EC 6.6.1.2)	404	0	0
SVP26 protein associated with early Golgi proteins (SNARE associated domain)	125	388	1995
LSU ribosomal protein L31p	491	0	0
LSU ribosomal protein L33p	270	860	3593
VEGETATIBLE INCOMPATIBILITY PROTEIN HET-E-1	1036	2718	9909
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	879	0	0
Thiamin biosynthesis protein ThiC	2172	6161	28560
L-arabonate dehydratase (EC 4.2.1.25)	682	2286	8853
GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	707	0	0
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	846	2926	10968
RecA protein	2440	7117	31298
Conjugative transposon protein TraF	6	0	0
Conjugative transposon protein TraG	70	0	0
Conjugative transposon protein TraM	110	308	1354
Conjugative transposon protein TraN	0	101	0
Conjugative transposon protein TraP	0	300	1667
Suppression of copper sensitivity: putative copper binding protein ScsA	141	617	2330
Glycosyltransferase (EC 2.4.1.-) in large core OS assembly cluster	1	0	0
Dimethylglycine dehydrogenase (EC 1.5.99.2)	78	0	0
CRISPR-associated protein, TM1800 family	1	0	0
CTP synthase (EC 6.3.4.2)	3669	11131	47450
Cyanate ABC transporter, permease protein	0	369	1454
Cyanate ABC transporter, substrate binding protein	242	616	2529
Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	1355	4310	16400
Lipase precursor (EC 3.1.1.3)	1100	3186	13990
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	4003	12843	48264
Nitric-oxide reductase (EC 1.7.99.7), quinol-dependent	662	2217	10282
Nitric-oxide reductase subunit B (EC 1.7.99.7)	117	342	1301
Nitrous-oxide reductase (EC 1.7.99.6)	447	0	0
PurR: transcription regulator associated with purine metabolism	1341	4633	18756
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	8093	0	0
D-galactarate dehydratase (EC 4.2.1.42)	155	427	1575
Alpha-glucuronidase (EC 3.2.1.139)	251	647	3450
D-galactarate dehydratase (EC 4.2.1.42)	155	427	1575
Uronate isomerase (EC 5.3.1.12)	580	0	0
Dehydrogenase involved in DMSP breakdown	598	1780	7446
DMSP breakdown hydrolase protein	0	164	655
DNA gyrase subunit B (EC 5.99.1.3)	4674	13314	57270
DNA sulfur modification protein DndE	2	0	0
DNA repair protein RAD51 homolog 3	1083	3282	13279
RecA protein	2428	7065	31135
RecA protein	2428	7065	31135
RecA protein	2428	7065	31135
Excinuclease ABC subunit A	11996	36137	144395
Excinuclease ABC subunit A paralog in greater Bacteroides group	503	0	0
Excinuclease ABC subunit A paralog of unknown function	2214	7900	23782
Excinuclease ABC subunit B	5023	14033	61249
DNA gyrase subunit B (EC 5.99.1.3)	4674	13314	57270
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	1083	3282	13279
RecA protein	2428	7065	31135
Replicative DNA helicase (EC 3.6.1.-); intein-containing	34	116	306
Integration host factor beta subunit	2050	5662	19336
DNA gyrase subunit B (EC 5.99.1.3)	4674	13314	57270
Topoisomerase IV subunit B (EC 5.99.1.-)	2113	6260	23632
Putative snRNP Sm-like protein, Archaeal	3295	0	0
U6 snRNA-associated Sm-like protein LSm6	0	2	0
GDB1 like ass w/ COG3533Xanth	4276	0	0
Hydrolase ass w/ COG3533Xanth	2207	6086	25749
IcmM protein	71	0	0
Transmembrane component of energizing module of predicted pantothenate ECF transporter	4	0	0
Transmembrane component of energizing module of predicted pyridoxine-related ECF transporter	860	2339	10439
Energy conserving hydrogenase Eha transmembrane protein I	7180	20340	87997
Energy conserving hydrogenase Eha transmembrane protein J	702	2142	9971
Enolase (EC 4.2.1.11)	3439	9781	41960
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	0	8685	37593
Predicted erythritol ABC transporter 1, permease component 1	21	0	0
Predicted erythritol ABC transporter 1, substrate-binding component	37	0	442
Predicted erythritol ABC transporter 2, substrate-binding component	4	0	0
10 kDa culture filtrate antigen CFP-10 (EsxB)	126	277	1229
6 kDa early secretory antigenic target ESAT-6 (EsxA)	16	53	200
ESAT-6/Esx family secreted protein EsxB	0	2	0
Crotonyl-CoA carboxylase/reductase, ethylmalonyl-CoA producing	497	1727	6751
Ethylmalonyl-CoA mutase, methylsuccinyl-CoA-forming	766	2679	10094
Mesaconyl-CoA hydratase	303	1023	4206
Methylsuccinyl-CoA dehydrogenase, predicted by (Erb et al, 2007)	520	1776	7300
cell division cycle 37 homolog (S. cerevisiae)	7198	22154	90642
Complement component 1, Q subcomponent binding protein, mitochondrial precursor	4380	13553	58605
Nuclear pore complex protein Nup88	0	0	1016
RAP interaction protein alpha	7197	22151	90628
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	665	1860	7274
Exopolysaccharide biosynthesis transcriptional activator EpsA	0	2	0
Exosome complex exonuclease RRP4	4392	13583	58660
Exosome complex exonuclease RRP41 (EC 3.1.13.-)	229	709	2612
Exosome complex exonuclease RRP42 (EC 3.1.13.-)	1261	3616	13886
Urocanate hydratase (EC 4.2.1.49)	3108	9491	37975
Dihydroneopterin aldolase (EC 4.1.2.25)	2967	9821	37742
Phenylalanine-4-hydroxylase (EC 1.14.16.1)	881	2794	10918
ATP synthase alpha chain (EC 3.6.3.14)	3581	10242	44175
ATP synthase beta chain (EC 3.6.3.14)	3509	10612	44636
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	98	311	1186
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	3708	11203	48505
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	3668	0	46992
surface localized undecaheme cytochrome c lipoprotein, UndB	499	1732	6770
Acetate kinase (EC 2.7.2.1)	3408	9674	42912
D-lactate dehydrogenase (EC 1.1.1.28)	2308	7318	30455
Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	3744	11556	52946
Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9)	3744	11556	52946
Pyruvate formate-lyase (EC 2.3.1.54)	1029	2679	9735
Nitric-oxide reductase (EC 1.7.99.7), quinol-dependent	671	2236	10386
Thymidylate synthase (EC 2.1.1.45)	772	2245	8698
Formate dehydrogenase N alpha subunit (EC 1.2.1.2)	195	655	2469
Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	1813	0	27202
Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	3654	10455	45164
Formate dehydrogenase N beta subunit (EC 1.2.1.2)	676	2239	10388
Formate dehydrogenase putative subunit (EC 1.2.1.2)	162	0	2447
Hydrogenase-4 component D (EC 1.-.-.-)	777	2266	8800
Hydrogenase IV Fe-S protein HyfA	190	644	2416
NAD-dependent formate dehydrogenase beta subunit	0	0	31130
NAD-dependent formate dehydrogenase delta subunit	542	1901	8235
Putative formate dehydrogenase iron-sulfur subunit (EC 1.2.1.2)	116	326	1346
tungsten-containing formate dehydrogenase alpha subunit	1231	3812	15443
tungsten-containing formate dehydrogenase beta subunit	541	1751	6875
CcdB toxin protein	423	1521	5645
Two-peptide bacteriocin peptide CibA	3	0	0
periplasmic fumarate reductase, FccA (EC 1.3.99.1)	781	2720	10243
Methylmalonyl-CoA mutase (EC 5.4.99.2)	7545	21385	92803
Urease accessory protein UreG	537	1434	5508
Urease alpha subunit (EC 3.5.1.5)	1608	4815	18796
Gamma-glutamyl-putrescine synthetase (EC 6.3.1.11)	60	0	684
Glutamate Aspartate transport ATP-binding protein GltL (TC 3.A.1.3.4)	0	666	2498
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	7197	22151	90626
Glutamine synthetase type I (EC 6.3.1.2)	4380	13552	58602
Aspartate--ammonia ligase (EC 6.3.1.1)	0	0	997
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	7197	22151	90626
Glutamine synthetase type I (EC 6.3.1.2)	4380	13552	58602
Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)	229	709	2612
Glutamine synthetase type III, GlnN (EC 6.3.1.2)	1258	3612	13880
Glutamine synthetase type I (EC 6.3.1.2)	4380	13552	58602
Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)	229	709	2612
Glutamine synthetase type III, GlnN (EC 6.3.1.2)	1258	3612	13880
Predicted alternative glutathione synthetase (EC 6.3.2.3)	483	1503	6335
S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	5452	15392	65986
Distant similarity with leukotriene C4 synthase (microsomal glutathione S-transferase)	0	6503	0
Glyoxylate carboligase (EC 4.1.1.47)	353	1193	4219
Tartrate decarboxylase (EC 4.1.1.73)	929	0	0
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	2842	8841	32281
Serine hydroxymethyltransferase (EC 2.1.2.1)	3010	8588	36126
Serine hydroxymethyltransferase (EC 2.1.2.1)	3010	8588	36126
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	2842	8841	32281
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	3240	9854	39895
1,4-alpha-glucan (starch) branching enzyme, GH-13-type (EC 2.4.1.18)	0	1	0
Glycogen debranching enzyme (EC 3.2.1.-)	5165	16450	63107
Isoamylase-type starch debranching enzyme (3.2.1.-)	6	13	0
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	3240	9854	39895
Glycogen debranching enzyme (EC 3.2.1.-)	5165	16450	63107
Enolase (EC 4.2.1.11)	3439	9781	41960
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	1896	0	24208
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	1029	3048	0
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	0	8685	37593
NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	0	1263	5051
Enolase (EC 4.2.1.11)	3439	9781	41960
Aconitate hydratase (EC 4.2.1.3)	5875	19201	77271
Citrate synthase (si) (EC 2.3.3.1)	4315	12771	53199
Isocitrate lyase (EC 4.1.3.1)	1301	3904	17587
Isocitrate lyase (EC 4.1.3.1), group III, Mycobacterial type ICL2	154	455	1996
Malate synthase (EC 2.3.3.9)	1361	4487	18979
Malate synthase G (EC 2.3.3.9)	415	0	0
Heat shock protein 60 family chaperone GroEL	9192	24880	115340
CoB--CoM heterodisulfide reductase subunit C (EC 1.8.98.1)	3533	10655	44862
Chaperone protein DnaK	7295	20607	89663
Translation elongation factor LepA	4576	12693	55260
5-aminolevulinate synthase (EC 2.3.1.37)	413	1125	4885
Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	487	1454	5399
Heme oxygenase HemO, associated with heme uptake	1514	4573	17640
Antibiotic biosynthesis monooxygenase domain-containing protein	0	2	0
Iron compound ABC uptake transporter permease protein PiaC	0	1	0
Urocanate hydratase (EC 4.2.1.49)	2380	7432	29696
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	2705	8961	34419
Homogentisate 1,2-dioxygenase (EC 1.13.11.5)	1280	4058	15399
Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	6086	18125	78280
hydrogenase (cytochrome-c3 hydrogenase beta chain)	98	311	1190
hydrogenase/sulfur reductase, gamma subunit	3711	11205	48525
Iron only hydrogenase large subunit	3668	0	46992
[Ni/Fe] hydrogenase, group 1, small subunit	0	331	1429
Signal transduction histidine kinase HoxJ (hydrogenase regulation)	4089	12635	57568
Uptake hydrogenase large subunit (EC 1.12.99.6)	4515	14159	65371
4Fe-4S ferredoxin, iron-sulfur binding	732	0	9513
Adenylylsulfate reductase alpha-subunit (EC 1.8.99.2)	128	277	1232
Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	2771	7784	31384
Sulfate-binding protein Sbp	298	864	3502
Inositol oxygenase (EC 1.13.99.1)	198	390	1673
Translation elongation factor LepA	4646	12915	56300
Cysteine desulfurase CsdA-CsdE, sulfur acceptor protein CsdE	110	298	1426
Iron-sulfur cluster assembly ATPase protein SufC	1951	5318	22097
Iron-sulfur cluster assembly protein SufB	3512	9347	42382
Probable acyl-CoA dehydrogenase (EC 1.3.99.3)	482	1500	6320
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	0	6455	27302
Kappa-fimbriae usher protein	51	196	659
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	7092	21465	90257
Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55)	461	1345	6692
Alternative L-arabinose isomerase (EC 5.3.1.4)	33	0	932
L-arabinose isomerase (EC 5.3.1.4)	436	1251	5874
L-arabonate dehydratase (EC 4.2.1.25)	678	2274	8815
Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	85	0	0
Late competence protein ComER, proline oxidase (EC 1.5.1.2)	2	0	0
Legionaminic acid biosynthesis protein PtmG	0	0	850
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	3295	0	0
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	2705	8961	34419
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	614	1766	6790
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	544	1799	6936
L-fuconate dehydratase (EC 4.2.1.68)	598	1780	7446
L-fucose isomerase (EC 5.3.1.25)	0	164	644
L-fuconate dehydratase (EC 4.2.1.68)	598	1780	7446
Cinnamyl-alcohol dehydrogenase (EC 1.1.1.195)	68	0	0
Lipoprotein releasing system transmembrane protein LolE	1720	5707	22419
Distant similarity with viral glycoprotein gp160 of HIV type 1	6075	18102	78203
Hypothetical protein, Lmo2306 homolog [Bacteriophage A118]	2781	8506	36890
Major capsid protein [Bacteriophage A118]	1	0	29
Putative peptidoglycan bound protein (LPXTG motif) Lmo0320 homolog	3011	8590	36134
Hypothetical protein YfkI	0	2	0
Serine hydroxymethyltransferase (EC 2.1.2.1)	3010	8588	36126
UDP-galactopyranose mutase (EC 5.4.99.9)	1004	2690	9352
L-rhamnonate dehydratase (EC 4.2.1.90)	16	72	0
Predicted L-rhamnose isomerase RhaI (EC 5.3.1.14)	586	1799	6923
LSU ribosomal protein L11p (L12e)	1001	2950	13000
LSU ribosomal protein L1p (L10Ae)	0	4567	0
L-beta-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.3)	136	608	2297
L-beta-lysine 5,6-aminomutase beta subunit (EC 5.4.3.3)	67	322	1148
L-pipecolate dehydrogenase (EC 1.5.99.3)	0	353	1295
Lysine decarboxylase 2, constitutive (EC 4.1.1.18)	71	212	1025
Lysine decarboxylase (EC 4.1.1.18)	0	1010	0
Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	65	0	727
L-beta-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.3)	136	608	2297
L-beta-lysine 5,6-aminomutase beta subunit (EC 5.4.3.3)	67	322	1148
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	8093	0	0
Integral membrane protein YfiB	1720	5707	22419
Nucleoside-specific channel-forming protein Tsx precursor	1	0	0
Malonate decarboxylase alpha subunit	0	318	0
Oligo-1,6-glucosidase (EC 3.2.1.10)	329	1005	3884
Mannose-6-phosphate isomerase, class I (EC 5.3.1.8)	0	2	0
Programmed cell death antitoxin MazE	4704	13390	57643
tRNA (cm5uracil34-C5-)-methyltranferase (EC 2.1.1.-)	4380	13553	58603
Urm1p Ubiquitin like protein involve in thiolation of mcm5Us4 in tRNA	229	711	2615
Energy conserving hydrogenase Eha ferredoxin (protein P2)	539	1431	5515
Energy conserving hydrogenase Eha large subunit homolog (protein O)	1515	4540	17785
Energy conserving hydrogenase Eha transmembrane protein A	60	0	0
Naphthoate synthase (EC 4.1.3.36)	657	2311	0
Mercuric resistance operon coregulator	68	0	0
Mercuric transport protein, MerT	143	631	2366
Organomercurial lyase (EC 4.99.1.2)	0	405	0
Pseudolysin, extracellular zinc protease (EC 3.4.24.26)	1457	4645	17582
Dimethylamine permease	2	0	0
Monomethylamine permease	0	78	0
Methyl coenzyme M reductase system component A2 homolog	1819	0	27394
Ni2+-binding GTPase involved in regulation of expression and maturation of hydrogenase	519	1846	7958
Small heat shock protein HSP16.5	143	387	1623
Uncharacterized ferredoxin MJ0099	157	0	0
Uncharacterized protein MJ0065	315	952	4801
Archaeal flavoprotein COG1036	11	0	0
D-alanyl transfer protein DltB	8124	0	0
Methicillin resistance regulatory sensor-transducer MecR1	1	0	0
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	7648	0	0
Adenosylhomocysteinase (EC 3.3.1.1)	4046	11117	47786
S-adenosylmethionine synthetase (EC 2.5.1.6)	2880	8341	35338
2-Oxobutyrate dehydrogenase E1 (EC:1.2.4.1)	25	84	280
Adenosylhomocysteinase (EC 3.3.1.1)	4046	11117	47786
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	4003	12843	48264
Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	3155	9015	43037
S-adenosylmethionine synthetase (EC 2.5.1.6)	2880	8341	35338
2-methylisocitrate dehydratase (EC 4.2.1.99)	1721	6021	23436
Outer membrane protein OprM	0	343	0
Syndecan-1 precursor	2428	7071	31147
FATTY-ACID-CoA LIGASE FADD26 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)	3	0	0
